complaint_text,department,category,priority,clean_text
Another power cut during working hours. Our productivity is severely affected.,Electricity,Power Cut,High,another power cut during working hours. our productivity is severely affected.
This isn't just a power cut; it's a disruption to our entire daily life.,Electricity,Power Cut,High,this isnt just a power cut its a disruption to our entire daily life.
"My medical device requires constant power, and it's been off for too long.",Electricity,Power Cut,High,"my medical device requires constant power, and its been off for too long."
Please prioritize the restoration of power in our densely populated area.,Electricity,Power Cut,High,please prioritize the restoration of power in our densely populated area.
We are unable to access water due to the power cut affecting our borewell pump.,Electricity,Power Cut,High,we are unable to access water due to the power cut affecting our borewell pump.
The frequent power outages are causing significant financial losses to local shops.,Electricity,Power Cut,High,the frequent power outages are causing significant financial losses to local shops.
It's past midnight and still no power in our apartment. When will it be back?,Electricity,Power Cut,High,its past midnight and still no power in our apartment. when will it be back?
"The streetlights are also off, making it very risky to walk around at night.",Electricity,Power Cut,High,"the streetlights are also off, making it very risky to walk around at night."
Our kids cannot sleep because of the heat and darkness caused by the power cut.,Electricity,Power Cut,High,our kids cannot sleep because of the heat and darkness caused by the power cut.
The unexpected power failure has forced us to stop all household chores.,Electricity,Power Cut,High,the unexpected power failure has forced us to stop all household chores.
What is the reason for this sudden and long-lasting power cut in Sector 4?,Electricity,Power Cut,High,what is the reason for this sudden and longlasting power cut in sector 4?
"Our area is experiencing a complete blackout, not just a localized issue.",Electricity,Power Cut,High,"our area is experiencing a complete blackout, not just a localized issue."
It's simply inhumane to have such long power cuts in this extreme weather.,Electricity,Power Cut,High,its simply inhumane to have such long power cuts in this extreme weather.
The community dustbin at Sector 3 is overflowing with household waste.,Sanitation,Garbage,Low,the community dustbin at sector 3 is overflowing with household waste.
Garbage collection has been inconsistent in Pratap Nagar Lane 5 for the past week.,Sanitation,Garbage,Low,garbage collection has been inconsistent in pratap nagar lane 5 for the past week.
Small piles of dry leaves are accumulating near the park entrance on Residency Road.,Sanitation,Garbage,Low,small piles of dry leaves are accumulating near the park entrance on residency road.
The sweepers are not clearing the corners of Gandhi Chowk properly; debris remains.,Sanitation,Garbage,Low,the sweepers are not clearing the corners of gandhi chowk properly debris remains.
"Our street's household garbage was not collected today, despite being the scheduled day.",Sanitation,Garbage,Low,"our streets household garbage was not collected today, despite being the scheduled day."
A small amount of plastic waste is scattered daily near the local tea stall.,Sanitation,Garbage,Low,a small amount of plastic waste is scattered daily near the local tea stall.
The public bin near the bus stop on MG Road hasn't been emptied in two days.,Sanitation,Garbage,Low,the public bin near the bus stop on mg road hasnt been emptied in two days.
Stray dogs are frequently tearing open garbage bags left outside homes in Arya Colony.,Sanitation,Garbage,Low,stray dogs are frequently tearing open garbage bags left outside homes in arya colony.
"There's a persistent mild smell near the vacant plot adjacent to Plot No. 12, due to minor dumping.",Sanitation,Garbage,Low,"theres a persistent mild smell near the vacant plot adjacent to plot no. 12, due to minor dumping."
The sweepers often just gather the waste into small heaps and leave them on Tilak Marg.,Sanitation,Garbage,Low,the sweepers often just gather the waste into small heaps and leave them on tilak marg.
"My lane (Lane 7, Krishna Vihar) was completely skipped during the morning collection.",Sanitation,Garbage,Low,"my lane lane 7, krishna vihar was completely skipped during the morning collection."
Small pieces of paper and food wrappers are littering the pathway outside the market.,Sanitation,Garbage,Low,small pieces of paper and food wrappers are littering the pathway outside the market.
The dustbin outside Shop No. 5 in the main market is constantly overflowing onto the pavement.,Sanitation,Garbage,Low,the dustbin outside shop no. 5 in the main market is constantly overflowing onto the pavement.
Residents are throwing small amounts of kitchen waste on the footpath near the school gate.,Sanitation,Garbage,Low,residents are throwing small amounts of kitchen waste on the footpath near the school gate.
"The garbage truck usually comes at 8 AM, but it's been coming unpredictably late this week.",Sanitation,Garbage,Low,"the garbage truck usually comes at 8 am, but its been coming unpredictably late this week."
A small accumulation of general waste has started in the alley behind Rattan Singh Apartments.,Sanitation,Garbage,Low,a small accumulation of general waste has started in the alley behind rattan singh apartments.
The public dustbin at the corner of Nehru Street is damaged and spilling its contents.,Sanitation,Garbage,Low,the public dustbin at the corner of nehru street is damaged and spilling its contents.
"Sweeping activity in Prem Nagar seems superficial, leaving behind fine dust and small debris.",Sanitation,Garbage,Low,"sweeping activity in prem nagar seems superficial, leaving behind fine dust and small debris."
"Garden waste (small branches, leaves) is being dumped near the community park's back gate.",Sanitation,Garbage,Low,"garden waste small branches, leaves is being dumped near the community parks back gate."
The area around the electric pole near House No. 23 is becoming a small dumping spot for packaging.,Sanitation,Garbage,Low,the area around the electric pole near house no. 23 is becoming a small dumping spot for packaging.
The municipal bin near the railway station entrance is frequently overflowing during evening hours.,Sanitation,Garbage,Low,the municipal bin near the railway station entrance is frequently overflowing during evening hours.
Collection staff often leave a few bags behind in Shivpuri when emptying bins.,Sanitation,Garbage,Low,collection staff often leave a few bags behind in shivpuri when emptying bins.
"There's a small pile of construction debris (bricks, cement bags) near the new building site on Main Street.",Sanitation,Garbage,Low,"theres a small pile of construction debris bricks, cement bags near the new building site on main street."
The open drain in front of House No. 45 has small garbage items accumulating near its edge.,Sanitation,Garbage,Low,the open drain in front of house no. 45 has small garbage items accumulating near its edge.
"No dustbin is provided near the children's play area in the local park, leading to litter.",Sanitation,Garbage,Low,"no dustbin is provided near the childrens play area in the local park, leading to litter."
Residents from the nearby apartments often throw small trash items onto the vacant land.,Sanitation,Garbage,Low,residents from the nearby apartments often throw small trash items onto the vacant land.
The area under the flyover often has small amounts of scattered paper and plastic.,Sanitation,Garbage,Low,the area under the flyover often has small amounts of scattered paper and plastic.
The street sweeper simply pushes the dirt and leaves into small mounds and leaves them.,Sanitation,Garbage,Low,the street sweeper simply pushes the dirt and leaves into small mounds and leaves them.
A consistent mild foul smell originates from the community dustbin in Gautam Nagar.,Sanitation,Garbage,Low,a consistent mild foul smell originates from the community dustbin in gautam nagar.
Small household garbage bags are being left outside shops after closing hours.,Sanitation,Garbage,Low,small household garbage bags are being left outside shops after closing hours.
"The daily street sweeping in Subhash Colony appears to be incomplete, missing spots.",Sanitation,Garbage,Low,"the daily street sweeping in subhash colony appears to be incomplete, missing spots."
"The bin near the local temple always seems to be full, even after collection.",Sanitation,Garbage,Low,"the bin near the local temple always seems to be full, even after collection."
There's an increase in flies around the small garbage pile at the end of Kailashpuri Lane 2.,Sanitation,Garbage,Low,theres an increase in flies around the small garbage pile at the end of kailashpuri lane 2.
Small amounts of vegetable waste from local vendors are left on the road near the market exit.,Sanitation,Garbage,Low,small amounts of vegetable waste from local vendors are left on the road near the market exit.
The area around the public tap in Hari Nagar is becoming unkempt due to minor refuse.,Sanitation,Garbage,Low,the area around the public tap in hari nagar is becoming unkempt due to minor refuse.
"Our lane's (Lane 4, Green Valley) waste collection was partially done, leaving several bags.",Sanitation,Garbage,Low,"our lanes lane 4, green valley waste collection was partially done, leaving several bags."
Stray cattle often scatter the contents of roadside bins in Vidya Nagar.,Sanitation,Garbage,Low,stray cattle often scatter the contents of roadside bins in vidya nagar.
Small piles of general waste are accumulating near the transformer box on Model Town Road.,Sanitation,Garbage,Low,small piles of general waste are accumulating near the transformer box on model town road.
The sweepers are not properly cleaning the footpaths in front of the shopping complex.,Sanitation,Garbage,Low,the sweepers are not properly cleaning the footpaths in front of the shopping complex.
"The public bin near the auto stand is often overflowing by noon, causing minor inconvenience.",Sanitation,Garbage,Low,"the public bin near the auto stand is often overflowing by noon, causing minor inconvenience."
Small domestic waste items are frequently found scattered along the boundary wall of our society.,Sanitation,Garbage,Low,small domestic waste items are frequently found scattered along the boundary wall of our society.
The garbage collection vehicle often skips collecting waste from the very end of our street.,Sanitation,Garbage,Low,the garbage collection vehicle often skips collecting waste from the very end of our street.
A neighbour is consistently placing a small bag of waste outside their house for extended periods.,Sanitation,Garbage,Low,a neighbour is consistently placing a small bag of waste outside their house for extended periods.
The public dustbin in front of the bakery has been full for over 24 hours.,Sanitation,Garbage,Low,the public dustbin in front of the bakery has been full for over 24 hours.
"The sweepers are missing the area directly under the trees, where leaves pile up.",Sanitation,Garbage,Low,"the sweepers are missing the area directly under the trees, where leaves pile up."
"There's a minor accumulation of dry waste (paper, plastic bottles) near the unused public telephone booth.",Sanitation,Garbage,Low,"theres a minor accumulation of dry waste paper, plastic bottles near the unused public telephone booth."
"The street in front of House No. 7, Ram Mandir Road, has a persistent minor litter problem.",Sanitation,Garbage,Low,"the street in front of house no. 7, ram mandir road, has a persistent minor litter problem."
"Garbage collection timing is erratic in our area (Shanti Nagar), making it difficult to put out bins.",Sanitation,Garbage,Low,"garbage collection timing is erratic in our area shanti nagar, making it difficult to put out bins."
Small plastic wrappers and food scraps are often seen near the entrance of the public garden.,Sanitation,Garbage,Low,small plastic wrappers and food scraps are often seen near the entrance of the public garden.
The community bins in Saraswati Vihar are routinely overflowing during weekends.,Sanitation,Garbage,Low,the community bins in saraswati vihar are routinely overflowing during weekends.
The daily sweeper often leaves a small amount of swept debris at the base of streetlights.,Sanitation,Garbage,Low,the daily sweeper often leaves a small amount of swept debris at the base of streetlights.
"Residents are putting out garbage bags at odd hours, leading to small spills overnight.",Sanitation,Garbage,Low,"residents are putting out garbage bags at odd hours, leading to small spills overnight."
The lane behind the fruit vendors has minor vegetable and fruit waste left on the ground.,Sanitation,Garbage,Low,the lane behind the fruit vendors has minor vegetable and fruit waste left on the ground.
The public bin near the post office has been unemptied for two consecutive days.,Sanitation,Garbage,Low,the public bin near the post office has been unemptied for two consecutive days.
"There's a small, consistent pile of mixed waste accumulating near the abandoned scooter.",Sanitation,Garbage,Low,"theres a small, consistent pile of mixed waste accumulating near the abandoned scooter."
Sweepers are not clearing the waste from between parked cars on Main Bazaar Street.,Sanitation,Garbage,Low,sweepers are not clearing the waste from between parked cars on main bazaar street.
My household bin was left unemptied this morning even after placing it out promptly.,Sanitation,Garbage,Low,my household bin was left unemptied this morning even after placing it out promptly.
The small corner near the old well is becoming a spot for minor garbage disposal.,Sanitation,Garbage,Low,the small corner near the old well is becoming a spot for minor garbage disposal.
The sweepers are simply moving the garbage from one spot to another without proper collection.,Sanitation,Garbage,Low,the sweepers are simply moving the garbage from one spot to another without proper collection.
The area around the public hand pump consistently has small amounts of litter.,Sanitation,Garbage,Low,the area around the public hand pump consistently has small amounts of litter.
The local residents are complaining about missed garbage collection in Geeta Colony every other day.,Sanitation,Garbage,Low,the local residents are complaining about missed garbage collection in geeta colony every other day.
"A small quantity of construction debris (packaging, small broken tiles) is left near the plot boundary.",Sanitation,Garbage,Low,"a small quantity of construction debris packaging, small broken tiles is left near the plot boundary."
The public dustbin at the market entrance is frequently overwhelmed and spills onto the walkway.,Sanitation,Garbage,Low,the public dustbin at the market entrance is frequently overwhelmed and spills onto the walkway.
"The sweepers neglect the narrow lane connecting Sector A and B, leaving it untidy.",Sanitation,Garbage,Low,"the sweepers neglect the narrow lane connecting sector a and b, leaving it untidy."
"There's a mild, unpleasant smell originating from the small heap of waste in the back alley.",Sanitation,Garbage,Low,"theres a mild, unpleasant smell originating from the small heap of waste in the back alley."
Small bags of household trash are often seen scattered near the main road after evening.,Sanitation,Garbage,Low,small bags of household trash are often seen scattered near the main road after evening.
The designated garbage collection point for our locality (Anand Vihar) is always overflowing.,Sanitation,Garbage,Low,the designated garbage collection point for our locality anand vihar is always overflowing.
The municipal sweeper does not clear the small drains of minor debris and leaves.,Sanitation,Garbage,Low,the municipal sweeper does not clear the small drains of minor debris and leaves.
Small amounts of packaging waste are accumulating near the entrance of the grocery store.,Sanitation,Garbage,Low,small amounts of packaging waste are accumulating near the entrance of the grocery store.
The garbage collector skipped collecting from the even-numbered houses on Gulmohar Street today.,Sanitation,Garbage,Low,the garbage collector skipped collecting from the evennumbered houses on gulmohar street today.
The vacant plot next to our house is being used for small-scale dumping of household refuse.,Sanitation,Garbage,Low,the vacant plot next to our house is being used for smallscale dumping of household refuse.
The public dustbin near the community hall has been full since yesterday evening.,Sanitation,Garbage,Low,the public dustbin near the community hall has been full since yesterday evening.
Small piles of mixed waste are regularly found near the electricity distribution box.,Sanitation,Garbage,Low,small piles of mixed waste are regularly found near the electricity distribution box.
The street sweeping in our residential area (Sukhdev Nagar) is inconsistent and often incomplete.,Sanitation,Garbage,Low,the street sweeping in our residential area sukhdev nagar is inconsistent and often incomplete.
There's a mild increase in flies around the unemptied community bin near Plot 50.,Sanitation,Garbage,Low,theres a mild increase in flies around the unemptied community bin near plot 50.
Residents are leaving small amounts of garden clippings near the boundary wall of the park.,Sanitation,Garbage,Low,residents are leaving small amounts of garden clippings near the boundary wall of the park.
"The garbage collection vehicle frequently arrives very early, before residents can place their waste out.",Sanitation,Garbage,Low,"the garbage collection vehicle frequently arrives very early, before residents can place their waste out."
The small collection of refuse near the bus shelter on Cross Road is attracting some stray animals.,Sanitation,Garbage,Low,the small collection of refuse near the bus shelter on cross road is attracting some stray animals.
The public bins near the rickshaw stand are often overflowing with general litter.,Sanitation,Garbage,Low,the public bins near the rickshaw stand are often overflowing with general litter.
The sweepers are not properly clearing the footpaths in front of the local school.,Sanitation,Garbage,Low,the sweepers are not properly clearing the footpaths in front of the local school.
"Flooded street due to burst water main near Sector 12 colony, water everywhere since morning.",Water Supply,Leakage,High,"flooded street due to burst water main near sector 12 colony, water everywhere since morning."
"Water gushing from cracked pipeline behind the municipal school, wasting thousands of litres daily.",Water Supply,Leakage,High,"water gushing from cracked pipeline behind the municipal school, wasting thousands of litres daily."
"Pipe burst near Hanuman Chowk causing heavy flooding on the road, extremely dangerous for vehicles.",Water Supply,Leakage,High,"pipe burst near hanuman chowk causing heavy flooding on the road, extremely dangerous for vehicles."
"Severe water seepage from underground pipe damaging my house foundation, Plot 45 Vikas Nagar.",Water Supply,Leakage,High,"severe water seepage from underground pipe damaging my house foundation, plot 45 vikas nagar."
"Huge wastage of water from broken public tap near the hospital entrance, running since 3 days.",Water Supply,Leakage,High,"huge wastage of water from broken public tap near the hospital entrance, running since 3 days."
"Entire lane waterlogged because of pipeline leak, mosquito breeding has increased significantly.",Water Supply,Leakage,High,"entire lane waterlogged because of pipeline leak, mosquito breeding has increased significantly."
"Road completely submerged due to water main burst near the temple, traffic diverted for hours.",Water Supply,Leakage,High,"road completely submerged due to water main burst near the temple, traffic diverted for hours."
"Continuous water overflow from the overhead tank, spilling onto the main road below.",Water Supply,Leakage,High,"continuous water overflow from the overhead tank, spilling onto the main road below."
"Urgent: Water spraying from a cracked joint near the transformer, electrocution risk very high.",Water Supply,Leakage,High,"urgent water spraying from a cracked joint near the transformer, electrocution risk very high."
"Pipe leakage near the market drain mixing with sewage, health hazard for shopkeepers.",Water Supply,Leakage,High,"pipe leakage near the market drain mixing with sewage, health hazard for shopkeepers."
"Our entire street is flooded due to municipal pipe burst, this is absolutely unacceptable.",Water Supply,Leakage,High,"our entire street is flooded due to municipal pipe burst, this is absolutely unacceptable."
"Water seeping through road cracks near bus depot, causing the asphalt to erode rapidly.",Water Supply,Leakage,High,"water seeping through road cracks near bus depot, causing the asphalt to erode rapidly."
"Massive water wastage from leaking valve near the community centre, nobody is attending to it.",Water Supply,Leakage,High,"massive water wastage from leaking valve near the community centre, nobody is attending to it."
"Flooded basement in my building due to underground pipe leak, furniture completely damaged.",Water Supply,Leakage,High,"flooded basement in my building due to underground pipe leak, furniture completely damaged."
"Water flowing like a stream on Station Road from burst pipeline, creating traffic chaos.",Water Supply,Leakage,High,"water flowing like a stream on station road from burst pipeline, creating traffic chaos."
"Pooling of water near children's playground due to pipe crack, kids cannot play safely.",Water Supply,Leakage,High,"pooling of water near childrens playground due to pipe crack, kids cannot play safely."
Heavy water leakage turning the road into a pond near Lakshmi Nagar junction.,Water Supply,Leakage,High,heavy water leakage turning the road into a pond near lakshmi nagar junction.
"Pipeline burst at midnight near our society gate, entire parking flooded by morning.",Water Supply,Leakage,High,"pipeline burst at midnight near our society gate, entire parking flooded by morning."
"Water gushing out violently from broken hydrant near the fire station, ironic but urgent.",Water Supply,Leakage,High,"water gushing out violently from broken hydrant near the fire station, ironic but urgent."
Continuous seepage from underground line weakening the boundary wall of government school.,Water Supply,Leakage,High,continuous seepage from underground line weakening the boundary wall of government school.
"Frustrated with this pipe leakage near our house, reported 5 times but no action taken.",Water Supply,Leakage,High,"frustrated with this pipe leakage near our house, reported 5 times but no action taken."
The water overflowing from burst pipe is now entering nearby shops in the market area.,Water Supply,Leakage,High,the water overflowing from burst pipe is now entering nearby shops in the market area.
"Road near the college is completely waterlogged due to pipeline damage, students struggling.",Water Supply,Leakage,High,"road near the college is completely waterlogged due to pipeline damage, students struggling."
Water wastage of criminal proportions from the broken main line near NH bypass.,Water Supply,Leakage,High,water wastage of criminal proportions from the broken main line near nh bypass.
Stagnant water due to pipe leak near the drain causing foul smell in entire locality.,Water Supply,Leakage,High,stagnant water due to pipe leak near the drain causing foul smell in entire locality.
"Burst pipe causing severe flooding near the petrol pump, vehicles skidding on wet road.",Water Supply,Leakage,High,"burst pipe causing severe flooding near the petrol pump, vehicles skidding on wet road."
Underground leakage has made the road surface collapse near the post office junction.,Water Supply,Leakage,High,underground leakage has made the road surface collapse near the post office junction.
"Pipe crack spraying water onto electric wires near Shiv Colony, extremely dangerous situation.",Water Supply,Leakage,High,"pipe crack spraying water onto electric wires near shiv colony, extremely dangerous situation."
"The flooded area near the temple is due to water pipeline burst, not rain.",Water Supply,Leakage,High,"the flooded area near the temple is due to water pipeline burst, not rain."
Major seepage from water line damaging the newly constructed footpath badly.,Water Supply,Leakage,High,major seepage from water line damaging the newly constructed footpath badly.
Why is nobody fixing the massive water leak near the railway crossing since two weeks?,Water Supply,Leakage,High,why is nobody fixing the massive water leak near the railway crossing since two weeks?
Leaking water pipe has created a mini pond outside our apartment complex entrance.,Water Supply,Leakage,High,leaking water pipe has created a mini pond outside our apartment complex entrance.
"The street near the masjid is completely flooded due to pipeline burst, urgent attention needed.",Water Supply,Leakage,High,"the street near the masjid is completely flooded due to pipeline burst, urgent attention needed."
"Severe water seepage under the flyover is eroding the pillar foundation, safety concern.",Water Supply,Leakage,High,"severe water seepage under the flyover is eroding the pillar foundation, safety concern."
"Frustrated: Water leaking from broken meter for a week, bills will skyrocket unfairly.",Water Supply,Leakage,High,"frustrated water leaking from broken meter for a week, bills will skyrocket unfairly."
Our colony road looks like a river due to pipeline burst near the main gate.,Water Supply,Leakage,High,our colony road looks like a river due to pipeline burst near the main gate.
"Water spraying from cracked pipe near the cemetery, creating muddy conditions for visitors.",Water Supply,Leakage,High,"water spraying from cracked pipe near the cemetery, creating muddy conditions for visitors."
The entire park area is waterlogged because of pipe leakage near the entrance.,Water Supply,Leakage,High,the entire park area is waterlogged because of pipe leakage near the entrance.
"Burst water main flooding the basement of the shopping complex, heavy losses for everyone.",Water Supply,Leakage,High,"burst water main flooding the basement of the shopping complex, heavy losses for everyone."
Water seepage from municipal line has damaged the road surface completely near Plot 78.,Water Supply,Leakage,High,water seepage from municipal line has damaged the road surface completely near plot 78.
"Sewage and water mixing near the leaking pipe at Gandhi Nagar, extremely unhygienic.",Water Supply,Leakage,High,"sewage and water mixing near the leaking pipe at gandhi nagar, extremely unhygienic."
"Pipe burst near the slum area wasting lakhs of litres, poor families could have used this.",Water Supply,Leakage,High,"pipe burst near the slum area wasting lakhs of litres, poor families could have used this."
"Water from burst pipeline entering my shop, severe financial loss happening daily.",Water Supply,Leakage,High,"water from burst pipeline entering my shop, severe financial loss happening daily."
"Flooded lane due to water main damage, auto rickshaws refusing to enter our area.",Water Supply,Leakage,High,"flooded lane due to water main damage, auto rickshaws refusing to enter our area."
The gushing water from cracked pipe is eroding the road foundation dangerously.,Water Supply,Leakage,High,the gushing water from cracked pipe is eroding the road foundation dangerously.
Our street is perpetually wet due to unattended water leakage since one month.,Water Supply,Leakage,High,our street is perpetually wet due to unattended water leakage since one month.
"No water in our taps for 48 hours, this is an emergency for families with infants.",Water Supply,Shortage,High,"no water in our taps for 48 hours, this is an emergency for families with infants."
"Complete water outage in Ward 15 since yesterday morning, residents are desperate.",Water Supply,Shortage,High,"complete water outage in ward 15 since yesterday morning, residents are desperate."
"Taps are bone dry, we are forced to buy expensive tanker water just to survive.",Water Supply,Shortage,High,"taps are bone dry, we are forced to buy expensive tanker water just to survive."
"Kindly restore water supply immediately, our elderly parents are suffering without water.",Water Supply,Shortage,High,"kindly restore water supply immediately, our elderly parents are suffering without water."
"Acute water shortage affecting over 200 families in our colony, basic survival is at stake.",Water Supply,Shortage,High,"acute water shortage affecting over 200 families in our colony, basic survival is at stake."
Why is there no water supply during peak morning hours when we need it most?,Water Supply,Shortage,High,why is there no water supply during peak morning hours when we need it most?
"Three days without water, cooking and bathing have become impossible for us.",Water Supply,Shortage,High,"three days without water, cooking and bathing have become impossible for us."
"Our building's underground tank is empty, no supply from municipal corporation at all.",Water Supply,Shortage,High,"our buildings underground tank is empty, no supply from municipal corporation at all."
"Water pressure is zero, not even a drop comes from the tap since yesterday.",Water Supply,Shortage,High,"water pressure is zero, not even a drop comes from the tap since yesterday."
"Desperate plea for water restoration, children cannot go to school without bathing.",Water Supply,Shortage,High,"desperate plea for water restoration, children cannot go to school without bathing."
"The scheduled water supply timing is never followed, we get water at random hours.",Water Supply,Shortage,High,"the scheduled water supply timing is never followed, we get water at random hours."
"No water for past 72 hours, sanitation and hygiene have become major concerns.",Water Supply,Shortage,High,"no water for past 72 hours, sanitation and hygiene have become major concerns."
"Water crisis in our locality is reaching alarming levels, please send tankers urgently.",Water Supply,Shortage,High,"water crisis in our locality is reaching alarming levels, please send tankers urgently."
"Even the borewell pump has stopped due to power cuts, and no municipal supply either.",Water Supply,Shortage,High,"even the borewell pump has stopped due to power cuts, and no municipal supply either."
Absolutely no water in any tap of our apartment building since two days.,Water Supply,Shortage,High,absolutely no water in any tap of our apartment building since two days.
"Water scarcity forcing women to walk long distances to fetch water, very inconvenient.",Water Supply,Shortage,High,"water scarcity forcing women to walk long distances to fetch water, very inconvenient."
"Our tanks are dry and taps are silent, when will you restore the water supply?",Water Supply,Shortage,High,"our tanks are dry and taps are silent, when will you restore the water supply?"
Summer heat combined with no water supply is making life unbearable in our ward.,Water Supply,Shortage,High,summer heat combined with no water supply is making life unbearable in our ward.
"Water supply cut off without any notice, hundreds of families affected immediately.",Water Supply,Shortage,High,"water supply cut off without any notice, hundreds of families affected immediately."
"We have small children at home who need water desperately, please restore supply.",Water Supply,Shortage,High,"we have small children at home who need water desperately, please restore supply."
The irregular water supply is affecting our cooking schedule every single day.,Water Supply,Shortage,High,the irregular water supply is affecting our cooking schedule every single day.
"Not a single drop of water for dialysis patient at home, this is life-threatening.",Water Supply,Shortage,High,"not a single drop of water for dialysis patient at home, this is lifethreatening."
"Our colony is parched, we have seen no water supply for almost a week now.",Water Supply,Shortage,High,"our colony is parched, we have seen no water supply for almost a week now."
"Water supply is only for 15 minutes daily, how can a family manage with this?",Water Supply,Shortage,High,"water supply is only for 15 minutes daily, how can a family manage with this?"
"Frustrated with empty taps, even the motor pump runs dry with no municipal supply.",Water Supply,Shortage,High,"frustrated with empty taps, even the motor pump runs dry with no municipal supply."
Please investigate why our area consistently gets less water than neighboring localities.,Water Supply,Shortage,High,please investigate why our area consistently gets less water than neighboring localities.
The persistent water shortage is forcing us to consider shifting from this locality.,Water Supply,Shortage,High,the persistent water shortage is forcing us to consider shifting from this locality.
"Water crisis worsening daily, underground tanks completely empty since three days.",Water Supply,Shortage,High,"water crisis worsening daily, underground tanks completely empty since three days."
Hostel students suffering badly with no water for bathing or drinking since morning.,Water Supply,Shortage,High,hostel students suffering badly with no water for bathing or drinking since morning.
"Water supply stopped suddenly during lunch preparation, very inconvenient timing.",Water Supply,Shortage,High,"water supply stopped suddenly during lunch preparation, very inconvenient timing."
"Our area receives water only once in three days, this is highly insufficient.",Water Supply,Shortage,High,"our area receives water only once in three days, this is highly insufficient."
"Multiple families sharing one bucket of water due to severe shortage, pathetic condition.",Water Supply,Shortage,High,"multiple families sharing one bucket of water due to severe shortage, pathetic condition."
"Water supply tanker promised yesterday never arrived, still waiting desperately.",Water Supply,Shortage,High,"water supply tanker promised yesterday never arrived, still waiting desperately."
"Dry taps for fourth consecutive day, we are buying water for even basic washing.",Water Supply,Shortage,High,"dry taps for fourth consecutive day, we are buying water for even basic washing."
"No water to flush toilets, the sanitation situation is becoming very bad.",Water Supply,Shortage,High,"no water to flush toilets, the sanitation situation is becoming very bad."
"Water shortage affecting local restaurants and hotels, businesses are shutting down.",Water Supply,Shortage,High,"water shortage affecting local restaurants and hotels, businesses are shutting down."
"Our colony pump house seems dysfunctional, no water reaching any household.",Water Supply,Shortage,High,"our colony pump house seems dysfunctional, no water reaching any household."
The water tanker mafia is exploiting us because of municipal supply failure.,Water Supply,Shortage,High,the water tanker mafia is exploiting us because of municipal supply failure.
Kids are falling sick due to dehydration as we have no clean drinking water.,Water Supply,Shortage,High,kids are falling sick due to dehydration as we have no clean drinking water.
"Zero water pressure in our society's pipeline, not even enough to fill one bucket.",Water Supply,Shortage,High,"zero water pressure in our societys pipeline, not even enough to fill one bucket."
"Water supply restored for only one hour yesterday, tank couldn't even fill halfway.",Water Supply,Shortage,High,"water supply restored for only one hour yesterday, tank couldnt even fill halfway."
"School had to close early because toilets had no water, students sent home.",Water Supply,Shortage,High,"school had to close early because toilets had no water, students sent home."
"Old age home in our area struggling without water, elderly inmates are suffering.",Water Supply,Shortage,High,"old age home in our area struggling without water, elderly inmates are suffering."
"Please prioritize water supply to our slum area, we have been ignored for too long.",Water Supply,Shortage,High,"please prioritize water supply to our slum area, we have been ignored for too long."
"Dangerous pothole right in the middle of the highway near toll plaza, accidents waiting to happen.",Roads,Pothole,Medium,"dangerous pothole right in the middle of the highway near toll plaza, accidents waiting to happen."
Multiple potholes have appeared after recent rains on the main road through Ashok Nagar.,Roads,Pothole,Medium,multiple potholes have appeared after recent rains on the main road through ashok nagar.
Deep crater-like pothole near the petrol pump causing severe damage to vehicle suspensions.,Roads,Pothole,Medium,deep craterlike pothole near the petrol pump causing severe damage to vehicle suspensions.
"Potholes filled with muddy water hiding their depth, very dangerous for two-wheelers.",Roads,Pothole,Medium,"potholes filled with muddy water hiding their depth, very dangerous for twowheelers."
"The road near children's hospital has potholes, ambulances are getting delayed.",Roads,Pothole,Medium,"the road near childrens hospital has potholes, ambulances are getting delayed."
"Large pothole near the traffic signal causing vehicles to brake suddenly, rear-end collisions common.",Roads,Pothole,Medium,"large pothole near the traffic signal causing vehicles to brake suddenly, rearend collisions common."
Series of potholes on the bridge approach road making crossing very difficult.,Roads,Pothole,Medium,series of potholes on the bridge approach road making crossing very difficult.
"School bus route has multiple potholes, children experience severe jolts daily.",Roads,Pothole,Medium,"school bus route has multiple potholes, children experience severe jolts daily."
Pothole near the railway crossing has been reported thrice but no repair done yet.,Roads,Pothole,Medium,pothole near the railway crossing has been reported thrice but no repair done yet.
"Fresh potholes appearing on newly laid road within just three months, poor quality work.",Roads,Pothole,Medium,"fresh potholes appearing on newly laid road within just three months, poor quality work."
"Motorcycle skidded and fell into pothole near the market, rider injured badly.",Roads,Pothole,Medium,"motorcycle skidded and fell into pothole near the market, rider injured badly."
One pothole near the government college has grown to the size of a small car.,Roads,Pothole,Medium,one pothole near the government college has grown to the size of a small car.
"Recurring potholes on the same stretch near the temple, repair work never lasts.",Roads,Pothole,Medium,"recurring potholes on the same stretch near the temple, repair work never lasts."
Pothole near our society gate has become a trap for vehicles entering and exiting.,Roads,Pothole,Medium,pothole near our society gate has become a trap for vehicles entering and exiting.
The internal roads of our residential colony are more potholes than road surface.,Roads,Pothole,Medium,the internal roads of our residential colony are more potholes than road surface.
Deep pothole near the vegetable market causing produce trucks to lose goods.,Roads,Pothole,Medium,deep pothole near the vegetable market causing produce trucks to lose goods.
